school;kess_index;gps
Stadtteilschule Ehestorfer Weg;2
Stadtteilschule Eidelstedt;2
Stadtteilschule Eppendorf;5
Stadtteilschule Finkenwerder;3
Stadtteilschule Fischbek-Falkenberg;3
Stadtteilschule Flottbek;2
Stadtteilschule Hamburg-Mitte;2
Stadtteilschule Helmuth Hübener;2
Stadtteilschule Horn;2
Stadtteilschule Kirchwerder;5
Stadtteilschule Lohbrügge;2
Stadtteilschule Lurup;2
Stadtteilschule Meiendorf;3
Stadtteilschule Mümmelmannsberg;1
Stadtteilschule Niendorf;5
Stadtteilschule Öjendorf;1
Stadtteilschule Oldenfelde;4
Stadtteilschule Poppenbüttel;4
Stadtteilschule Richard-Linde-Weg;3
Stadtteilschule Rissen;5
Stadtteilschule Stellingen;4
Stadtteilschule Stübenhofer Weg;1
Stadtteilschule Süderelbe;2
Stadtteilschule Walddörfer;5
Stadtteilschule Wilhelmsburg;1
Stadtteilschule Winterhude;5
Struensee Gymnasium;4
Theodor-Haubach-Schule;5
Walddörfer-Gymnasium;6
Westerschule Finkenwerder;4
Wilhelm-Gymnasium;6
Wolfgang-Borchert-Schule;5
